"Uid","CLUB"
32688,"club-124"
32690,"club-107"
32693,"club-110"
32694,"club-107"
32695,"club-124"
32699,"club-107"
32701,"club-107"
32704,"club-107"
32708,"club-124"
32709,"club-110"
32710,"club-110"
32714,"club-124"
32715,"club-110"
32740,"club-111"
32744,"club-125"
32757,"club-124"
32777,"club-105"
32788,"club-133"
32793,"club-101"
32797,"club-101"
32798,"club-101"
32825,"club-111"
32853,"club-402"
32869,"club-402"
32873,"club-410"
32883,"club-218"
32888,"club-125"
32893,"club-604"
32907,"club-402"
32919,"club-108"
32928,"club-103"
32941,"club-108"
32946,"club-108"
32950,"club-111"
32954,"club-109"
32975,"club-123"
32983,"club-102"
32984,"club-102"
32985,"club-102"
32986,"club-102"
32987,"club-116"
32992,"club-102"
32995,"club-102"
32998,"club-119"
32999,"club-102"
33002,"club-102"
33010,"club-124"
33012,"club-102"
33015,"club-102"
33016,"club-108"
33017,"club-113"
33018,"club-102"
33019,"club-116"
33020,"club-102"
33022,"club-102"
33023,"club-102"
33024,"club-108"
33027,"club-102"
33028,"club-108"
33029,"club-109"
33031,"club-111"
33046,"club-109"
33052,"club-113"
33067,"club-401"
33070,"club-113"
33071,"club-103"
33072,"club-102"
33076,"club-102"
33078,"club-106"
33081,"club-116"
33087,"club-102"
33091,"club-106"
33097,"club-102"
33099,"club-102"
33100,"club-106"
33101,"club-106"
33106,"club-103"
33113,"club-105"
33129,"club-115"
33133,"club-123"
33144,"club-121"
33146,"club-111"
33149,"club-404"
33153,"club-107"
33154,"club-107"
33156,"club-112"
33157,"club-118"
33158,"club-108"
33159,"club-107"
33160,"club-112"
33162,"club-108"
33164,"club-108"
33166,"club-107"
33167,"club-107"
33170,"club-118"
33173,"club-112"
33175,"club-108"
33176,"club-107"
33180,"club-107"
33181,"club-105"
33182,"club-114"
33184,"club-108"
33188,"club-105"
33189,"club-108"
33192,"club-114"
33194,"club-112"
33196,"club-124"
33197,"club-107"
33198,"club-114"
33199,"club-107"
33200,"club-114"
33201,"club-114"
33205,"club-114"
33207,"club-108"
33208,"club-112"
33209,"club-118"
33210,"club-118"
33212,"club-108"
33213,"club-112"
33214,"club-114"
33216,"club-108"
33220,"club-105"
33223,"club-112"
33224,"club-108"
33225,"club-124"
33226,"club-105"
33227,"club-114"
33228,"club-107"
33230,"club-118"
33232,"club-114"
33235,"club-112"
33236,"club-112"
33237,"club-112"
33238,"club-118"
33242,"club-114"
33243,"club-112"
33244,"club-103"
33245,"club-108"
33248,"club-112"
33250,"club-108"
33251,"club-114"
33253,"club-114"
33255,"club-107"
33257,"club-103"
33258,"club-105"
33262,"club-124"
33264,"club-107"
33268,"club-124"
33270,"club-112"
33271,"club-105"
33272,"club-114"
33273,"club-124"
33274,"club-118"
33275,"club-118"
33276,"club-105"
33283,"club-105"
33285,"club-103"
33287,"club-114"
33289,"club-103"
33293,"club-107"
33299,"club-107"
33301,"club-107"
33302,"club-114"
33306,"club-107"
33308,"club-108"
33312,"club-124"
33316,"club-124"
33318,"club-108"
33319,"club-118"
33323,"club-108"
33324,"club-112"
33326,"club-108"
33328,"club-118"
33329,"club-118"
33330,"club-114"
33331,"club-114"
33333,"club-118"
33334,"club-105"
33335,"club-114"
33338,"club-108"
33339,"club-108"
33341,"club-112"
33345,"club-114"
33347,"club-114"
33348,"club-124"
33352,"club-124"
33354,"club-112"
33355,"club-108"
33360,"club-114"
33361,"club-107"
33362,"club-124"
33363,"club-112"
33365,"club-114"
33370,"club-108"
33373,"club-107"
33377,"club-114"
33378,"club-124"
33380,"club-114"
33384,"club-112"
33393,"club-603"
33396,"club-132"
33407,"club-101"
33409,"club-101"
33412,"club-101"
33414,"club-101"
33416,"club-102"
33419,"club-101"
33432,"club-124"
33440,"club-101"
33441,"club-101"
33460,"club-134"
33462,"club-121"
33486,"club-107"
33489,"club-105"
33490,"club-110"
33493,"club-107"
33496,"club-107"
33497,"club-110"
33498,"club-125"
33500,"club-102"
33503,"club-110"
33506,"club-102"
33511,"club-102"
33512,"club-110"
33513,"club-102"
33514,"club-102"
33521,"club-242"
33553,"club-221"
33557,"club-221"
33588,"club-413"
33594,"club-402"
33609,"club-111"
33617,"club-237"
33619,"club-133"
33640,"club-125"
33659,"club-402"
33660,"club-402"
33677,"club-237"
33678,"club-202"
33686,"club-101"
33687,"club-105"
33692,"club-101"
33721,"club-121"
33724,"club-109"
33759,"club-413"
33784,"club-125"
33813,"club-111"
33818,"club-109"
33820,"club-222"
33821,"club-110"
33822,"club-110"
33824,"club-110"
33825,"club-107"
33827,"club-110"
33829,"club-110"
33831,"club-110"
33832,"club-102"
33833,"club-102"
33835,"club-109"
33836,"club-110"
33837,"club-102"
33838,"club-102"
33839,"club-107"
33844,"club-133"
33851,"club-219"
33864,"club-123"
33891,"club-109"
33897,"club-121"
33920,"club-413"
33924,"club-605"
33967,"club-108"
33968,"club-109"
33969,"club-109"
33970,"club-102"
33972,"club-108"
33973,"club-106"
33975,"club-109"
33976,"club-106"
33977,"club-107"
33978,"club-107"
33979,"club-108"
33981,"club-106"
33985,"club-102"
33987,"club-102"
33988,"club-106"
33989,"club-106"
33991,"club-109"
33992,"club-103"
33993,"club-109"
33999,"club-106"
34000,"club-107"
34001,"club-106"
34002,"club-102"
34003,"club-106"
34005,"club-107"
34008,"club-111"
34029,"club-101"
34032,"club-103"
34035,"club-403"
34038,"club-221"
34042,"club-123"
34049,"club-119"
34055,"club-109"
34067,"club-111"
34076,"club-123"
34099,"club-109"
34103,"club-118"
34105,"club-118"
34110,"club-118"
34118,"club-201"
34121,"club-601"
34126,"club-501"
34134,"club-105"
34143,"club-111"
34147,"club-105"
34148,"club-110"
34149,"club-111"
34153,"club-102"
34164,"club-133"
34166,"club-111"
34169,"club-413"
34194,"club-402"
34214,"club-134"
34216,"club-403"
34218,"club-108"
34229,"club-410"
34237,"club-123"
34243,"club-111"
34247,"club-402"
34269,"club-124"
34289,"club-111"
34308,"club-102"
34309,"club-101"
34310,"club-109"
34311,"club-101"
34313,"club-113"
34316,"club-107"
34317,"club-101"
34318,"club-107"
34319,"club-101"
34320,"club-101"
34321,"club-102"
34322,"club-107"
34324,"club-126"
34328,"club-105"
34329,"club-107"
34330,"club-107"
34332,"club-107"
34336,"club-101"
34337,"club-105"
34338,"club-108"
34341,"club-107"
34342,"club-107"
34344,"club-101"
34346,"club-102"
34347,"club-122"
34349,"club-107"
34350,"club-107"
34354,"club-102"
34357,"club-102"
34362,"club-410"
34371,"club-102"
34373,"club-111"
34377,"club-242"
34404,"club-121"
34415,"club-105"
34416,"club-107"
34418,"club-105"
34421,"club-105"
34424,"club-101"
34434,"club-420"
34435,"club-261"
34437,"club-402"
34438,"club-261"
34444,"club-211"
34456,"club-221"
34463,"club-101"
34465,"club-106"
34467,"club-118"
34468,"club-111"
34470,"club-107"
34477,"club-102"
34480,"club-107"
34481,"club-118"
34482,"club-107"
34484,"club-118"
34485,"club-107"
34489,"club-107"
34490,"club-107"
34492,"club-102"
34494,"club-118"
34495,"club-101"
34502,"club-133"
34510,"club-133"
34511,"club-211"
34514,"club-402"
34541,"club-102"
34542,"club-111"
34574,"club-101"
34600,"club-261"
34619,"club-111"
34634,"club-135"
34636,"club-604"
34637,"club-105"
34643,"club-115"
34644,"club-115"
34645,"club-108"
34647,"club-113"
34651,"club-119"
34653,"club-102"
34655,"club-109"
34657,"club-109"
34658,"club-108"
34659,"club-113"
34660,"club-109"
34661,"club-113"
34664,"club-109"
34665,"club-109"
34666,"club-108"
34668,"club-115"
34670,"club-105"
34694,"club-501"
34698,"club-245"
34705,"club-111"
34708,"club-111"
34726,"club-123"
34728,"club-102"
34730,"club-109"
34736,"club-108"
34738,"club-102"
34739,"club-102"
34742,"club-109"
34743,"club-102"
34745,"club-121"
34746,"club-404"
34748,"club-115"
34749,"club-102"
34751,"club-102"
34753,"club-109"
34758,"club-102"
34759,"club-101"
34773,"club-123"
34790,"club-413"
34805,"club-211"
34816,"club-242"
34821,"club-404"
34840,"club-212"
34860,"club-111"
34865,"club-501"
34871,"club-133"
34873,"club-111"
34877,"club-121"
34899,"club-111"
34902,"club-101"
34905,"club-403"
34909,"club-111"
34912,"club-109"
34916,"club-111"
34950,"club-105"
34961,"club-402"
34965,"club-125"
34970,"club-402"
34977,"club-103"
34978,"club-103"
34982,"club-107"
34984,"club-103"
34987,"club-103"
34994,"club-107"
34996,"club-103"
35007,"club-109"
35015,"club-102"
35017,"club-102"
35019,"club-133"
35020,"club-102"
35021,"club-241"
35047,"club-117"
35064,"club-126"
35065,"club-119"
35066,"club-119"
35068,"club-108"
35069,"club-108"
35071,"club-103"
35074,"club-103"
35077,"club-108"
35081,"club-105"
35082,"club-106"
35086,"club-103"
35090,"club-101"
35095,"club-103"
35099,"club-105"
35111,"club-402"
35124,"club-133"
35125,"club-109"
35146,"club-402"
35155,"club-133"
35158,"club-105"
35159,"club-132"
35165,"club-123"
35172,"club-402"
35173,"club-242"
35183,"club-242"
35192,"club-267"
35198,"club-109"
35200,"club-109"
35211,"club-242"
35212,"club-102"
35216,"club-110"
35217,"club-201"
35218,"club-110"
35219,"club-110"
35220,"club-109"
35221,"club-102"
35223,"club-201"
35224,"club-102"
35225,"club-102"
35226,"club-110"
35227,"club-102"
35232,"club-107"
35235,"club-102"
35236,"club-110"
35239,"club-102"
35242,"club-102"
35243,"club-119"
35245,"club-102"
35251,"club-108"
35267,"club-102"
35268,"club-110"
35269,"club-109"
35270,"club-106"
35293,"club-604"
35302,"club-133"
35306,"club-216"
35317,"club-117"
35319,"club-111"
35321,"club-105"
35336,"club-241"
35337,"club-133"
35338,"club-216"
35351,"club-109"
35361,"club-133"
35372,"club-241"
35373,"club-604"
35376,"club-117"
35377,"club-216"
35384,"club-413"
35407,"club-105"
35413,"club-115"
35414,"club-241"
35417,"club-109"
35421,"club-123"
35424,"club-111"
35428,"club-105"
35444,"club-245"
35446,"club-105"
35447,"club-111"
35448,"club-122"
35449,"club-105"
35450,"club-101"
35453,"club-101"
35459,"club-101"
35461,"club-105"
35462,"club-604"
35464,"club-105"
35465,"club-107"
35476,"club-108"
35494,"club-242"
35495,"club-604"
35504,"club-117"
35522,"club-233"
35524,"club-402"
35530,"club-420"
35534,"club-242"
35539,"club-249"
35542,"club-105"
35547,"club-132"
35548,"club-132"
35554,"club-242"
35569,"club-132"
35572,"club-117"
35577,"club-105"
35596,"club-101"
35598,"club-107"
35600,"club-101"
35601,"club-108"
35605,"club-108"
35608,"club-101"
35619,"club-105"
35625,"club-137"
35626,"club-241"
35629,"club-105"
35639,"club-111"
35655,"club-109"
35657,"club-106"
35658,"club-105"
35659,"club-107"
35665,"club-107"
35666,"club-106"
35667,"club-107"
35670,"club-106"
35671,"club-107"
35672,"club-107"
35673,"club-106"
35674,"club-106"
35675,"club-107"
35677,"club-106"
35678,"club-205"
35679,"club-107"
35682,"club-107"
35683,"club-105"
35684,"club-205"
35686,"club-114"
35692,"club-107"
35693,"club-107"
35694,"club-106"
35695,"club-107"
35697,"club-106"
35701,"club-107"
35702,"club-110"
35703,"club-106"
35704,"club-106"
35705,"club-107"
35706,"club-107"
35707,"club-106"
35708,"club-106"
35709,"club-205"
35711,"club-110"
35714,"club-107"
35715,"club-107"
35716,"club-110"
35717,"club-107"
35719,"club-110"
35722,"club-205"
35724,"club-205"
35725,"club-205"
35726,"club-106"
35728,"club-205"
35730,"club-107"
35732,"club-105"
35754,"club-113"
35762,"club-111"
35766,"club-105"
35771,"club-245"
35772,"club-111"
35783,"club-123"
35801,"club-402"
35808,"club-402"
35814,"club-402"
35818,"club-123"
35856,"club-218"
35862,"club-249"
35867,"club-108"
35868,"club-101"
35871,"club-101"
35875,"club-116"
35882,"club-111"
35911,"club-109"
35924,"club-242"
35943,"club-105"
35957,"club-218"
35965,"club-105"
35967,"club-218"
35968,"club-102"
35971,"club-112"
35975,"club-102"
35977,"club-112"
35978,"club-112"
35981,"club-119"
35983,"club-218"
35984,"club-119"
35985,"club-112"
35987,"club-105"
35991,"club-119"
35992,"club-218"
35993,"club-102"
36001,"club-402"
36036,"club-221"
36044,"club-133"
36085,"club-123"
36090,"club-109"
36093,"club-127"
36098,"club-102"
36099,"club-107"
36101,"club-107"
36103,"club-123"
36104,"club-103"
36105,"club-107"
36106,"club-110"
36110,"club-107"
36111,"club-123"
36117,"club-107"
36120,"club-129"
36121,"club-107"
36123,"club-103"
36128,"club-103"
36130,"club-206"
36141,"club-124"
36142,"club-413"
36144,"club-124"
36162,"club-119"
36163,"club-111"
36165,"club-105"
36178,"club-126"
36185,"club-132"
36191,"club-107"
36196,"club-108"
36203,"club-105"
36216,"club-105"
36223,"club-125"
36236,"club-106"
36242,"club-123"
36246,"club-111"
36254,"club-103"
36257,"club-111"
36260,"club-103"
36261,"club-113"
36264,"club-103"
36268,"club-103"
36270,"club-103"
36273,"club-113"
36289,"club-111"
36307,"club-245"
36312,"club-132"
36314,"club-105"
36324,"club-111"
36340,"club-111"
36347,"club-113"
36358,"club-211"
36362,"club-410"
36368,"club-105"
36371,"club-106"
36374,"club-107"
36376,"club-117"
36379,"club-107"
36380,"club-105"
36381,"club-106"
36384,"club-123"
36390,"club-108"
36400,"club-111"
36414,"club-129"
36434,"club-111"
36442,"club-401"
36461,"club-111"
36470,"club-108"
36473,"club-123"
36474,"club-124"
36475,"club-124"
36476,"club-108"
36479,"club-604"
36481,"club-106"
36483,"club-108"
36485,"club-106"
36487,"club-108"
36488,"club-108"
36489,"club-124"
36490,"club-102"
36493,"club-105"
36520,"club-605"
36523,"club-111"
36532,"club-105"
36534,"club-402"
36537,"club-119"
36543,"club-101"
36554,"club-111"
36565,"club-124"
36580,"club-102"
36581,"club-108"
36582,"club-109"
36583,"club-102"
36596,"club-101"
36605,"club-108"
36606,"club-106"
36607,"club-106"
36608,"club-101"
36614,"club-101"
36620,"club-604"
36622,"club-102"
36624,"club-102"
36628,"club-102"
36630,"club-106"
36632,"club-102"
36633,"club-102"
36635,"club-102"
36636,"club-102"
36638,"club-102"
36641,"club-107"
36650,"club-102"
36660,"club-111"
36661,"club-101"
36662,"club-501"
36664,"club-101"
36665,"club-102"
36669,"club-111"
36675,"club-105"
36678,"club-242"
36684,"club-401"
36698,"club-102"
36699,"club-123"
36700,"club-121"
36704,"club-125"
36705,"club-125"
36706,"club-209"
36708,"club-102"
36712,"club-125"
36715,"club-102"
36716,"club-107"
36719,"club-123"
36720,"club-102"
36721,"club-102"
36722,"club-101"
36724,"club-102"
36725,"club-102"
36726,"club-209"
36727,"club-102"
36728,"club-125"
36730,"club-209"
36731,"club-209"
36733,"club-102"
36739,"club-123"
36740,"club-102"
36741,"club-101"
36744,"club-101"
36745,"club-102"
36746,"club-123"
36747,"club-209"
36748,"club-101"
36768,"club-114"
36769,"club-107"
36772,"club-102"
36775,"club-102"
36776,"club-102"
36777,"club-107"
36779,"club-102"
36780,"club-118"
36782,"club-107"
36784,"club-102"
36787,"club-102"
36788,"club-118"
36791,"club-118"
36794,"club-102"
36797,"club-107"
36798,"club-118"
36800,"club-107"
36802,"club-107"
36804,"club-102"
36808,"club-213"
36809,"club-118"
36810,"club-107"
36811,"club-109"
36813,"club-107"
36818,"club-102"
36820,"club-107"
36822,"club-202"
36824,"club-202"
36826,"club-102"
36828,"club-103"
36830,"club-114"
36833,"club-213"
36836,"club-118"
36837,"club-107"
36838,"club-102"
36839,"club-213"
36845,"club-102"
36847,"club-213"
36848,"club-213"
36849,"club-102"
36854,"club-107"
36855,"club-213"
36857,"club-107"
36859,"club-114"
36869,"club-202"
36870,"club-109"
36871,"club-107"
36872,"club-102"
36873,"club-202"
36875,"club-102"
36877,"club-109"
36880,"club-114"
36886,"club-102"
36889,"club-103"
36890,"club-103"
36891,"club-107"
36894,"club-102"
36896,"club-102"
36898,"club-213"
36899,"club-102"
36900,"club-109"
36901,"club-102"
36902,"club-118"
36904,"club-107"
36906,"club-103"
36907,"club-213"
36909,"club-118"
36910,"club-102"
36911,"club-109"
36912,"club-114"
36915,"club-107"
36918,"club-202"
36919,"club-114"
36921,"club-202"
36922,"club-102"
36923,"club-107"
36924,"club-102"
36927,"club-118"
36928,"club-107"
36929,"club-213"
36930,"club-202"
36939,"club-102"
36940,"club-102"
36943,"club-114"
36952,"club-102"
36953,"club-213"
36955,"club-102"
36956,"club-107"
36958,"club-118"
36960,"club-213"
36961,"club-107"
36962,"club-102"
36963,"club-102"
36965,"club-213"
36966,"club-107"
36967,"club-107"
36968,"club-102"
36971,"club-107"
36972,"club-102"
36974,"club-107"
36975,"club-202"
36976,"club-202"
36978,"club-114"
36979,"club-107"
36980,"club-109"
36981,"club-107"
36982,"club-102"
36983,"club-202"
36984,"club-102"
36985,"club-107"
36986,"club-202"
36987,"club-118"
36991,"club-107"
36992,"club-202"
36993,"club-118"
36996,"club-109"
36998,"club-102"
36999,"club-202"
37000,"club-202"
37003,"club-213"
37006,"club-213"
37007,"club-107"
37009,"club-102"
37014,"club-109"
37015,"club-202"
37020,"club-118"
37022,"club-102"
37026,"club-109"
37028,"club-102"
37031,"club-109"
37032,"club-107"
37033,"club-107"
37037,"club-109"
37044,"club-245"
37061,"club-402"
37063,"club-111"
37082,"club-111"
37084,"club-111"
37109,"club-107"
37114,"club-134"
37133,"club-111"
37134,"club-101"
37160,"club-410"
37161,"club-105"
37163,"club-402"
37172,"club-106"
37175,"club-121"
37176,"club-110"
37180,"club-114"
37181,"club-105"
37187,"club-105"
37188,"club-105"
37189,"club-121"
37190,"club-106"
37191,"club-106"
37198,"club-123"
37199,"club-242"
37211,"club-109"
37228,"club-111"
37231,"club-119"
37253,"club-116"
37261,"club-261"
37262,"club-242"
37268,"club-109"
37287,"club-132"
37296,"club-403"
37298,"club-105"
37300,"club-420"
37303,"club-105"
37312,"club-105"
37317,"club-402"
37318,"club-402"
37329,"club-401"
37334,"club-135"
37351,"club-242"
37353,"club-410"
37354,"club-111"
37376,"club-233"
37385,"club-119"
37387,"club-111"
37397,"club-127"
37407,"club-233"
37409,"club-413"
37422,"club-604"
37425,"club-111"
37426,"club-413"
37428,"club-111"
37444,"club-413"
37453,"club-111"
37467,"club-135"
37470,"club-110"
37481,"club-108"
37494,"club-111"
37495,"club-604"
37497,"club-103"
37500,"club-116"
37501,"club-105"
37503,"club-604"
37506,"club-105"
37507,"club-106"
37510,"club-116"
37513,"club-116"
37516,"club-105"
37518,"club-111"
37520,"club-106"
37559,"club-117"
37583,"club-109"
37600,"club-402"
37604,"club-218"
37608,"club-402"
37610,"club-123"
37612,"club-123"
37614,"club-105"
37625,"club-115"
37632,"club-402"
37633,"club-402"
37637,"club-105"
37659,"club-604"
37668,"club-413"
37682,"club-109"
37683,"club-111"
37684,"club-101"
37688,"club-102"
37689,"club-413"
37709,"club-111"
37717,"club-111"
37721,"club-119"
37724,"club-118"
37727,"club-413"
37732,"club-112"
37737,"club-115"
37738,"club-115"
37747,"club-133"
37753,"club-219"
37761,"club-405"
37781,"club-106"
37795,"club-105"
37798,"club-413"
37805,"club-102"
37808,"club-107"
37809,"club-101"
37810,"club-102"
37814,"club-102"
37815,"club-109"
37822,"club-102"
37823,"club-102"
37824,"club-107"
37829,"club-110"
37857,"club-113"
37859,"club-102"
37860,"club-107"
37863,"club-108"
37867,"club-102"
37869,"club-112"
37872,"club-102"
37875,"club-102"
37876,"club-108"
37877,"club-115"
37879,"club-102"
37880,"club-102"
37884,"club-113"
37887,"club-113"
37895,"club-109"
37899,"club-123"
37913,"club-119"
37917,"club-133"
37926,"club-402"
37932,"club-106"
37938,"club-116"
37940,"club-103"
37942,"club-201"
37943,"club-102"
37952,"club-116"
37955,"club-102"
37956,"club-116"
37957,"club-102"
37958,"club-102"
37959,"club-102"
37960,"club-116"
37964,"club-103"
37965,"club-103"
37970,"club-103"
37972,"club-119"
37975,"club-105"
37982,"club-102"
37984,"club-111"
37987,"club-402"
37992,"club-111"
38002,"club-604"
38015,"club-403"
38026,"club-103"
38027,"club-108"
38031,"club-102"
38033,"club-102"
38034,"club-116"
38035,"club-102"
38037,"club-101"
38038,"club-102"
38041,"club-103"
38043,"club-103"
38046,"club-103"
38048,"club-101"
38053,"club-110"
38055,"club-108"
38057,"club-103"
38060,"club-116"
38062,"club-108"
38068,"club-111"
38086,"club-125"
38102,"club-111"
38106,"club-111"
38108,"club-113"
38109,"club-101"
38113,"club-101"
38121,"club-117"
38125,"club-117"
38127,"club-101"
38133,"club-101"
38136,"club-102"
38158,"club-111"
38162,"club-126"
38167,"club-111"
38195,"club-102"
38201,"club-106"
38203,"club-106"
38205,"club-101"
38206,"club-111"
38209,"club-249"
38211,"club-106"
38216,"club-102"
38218,"club-107"
38221,"club-117"
38226,"club-123"
38234,"club-105"
38271,"club-252"
38304,"club-103"
38316,"club-404"
38334,"club-111"
38358,"club-111"
38359,"club-212"
38360,"club-128"
38385,"club-233"
38395,"club-111"
38403,"club-266"
38409,"club-133"
38422,"club-210"
38424,"club-121"
38426,"club-214"
38428,"club-114"
38429,"club-214"
38431,"club-201"
38432,"club-214"
38434,"club-118"
38435,"club-103"
38437,"club-219"
38438,"club-201"
38441,"club-101"
38442,"club-118"
38444,"club-219"
38445,"club-214"
38446,"club-118"
38447,"club-107"
38448,"club-103"
38449,"club-201"
38454,"club-118"
38455,"club-210"
38457,"club-214"
38461,"club-121"
38463,"club-101"
38464,"club-121"
38466,"club-219"
38467,"club-201"
38470,"club-118"
38472,"club-118"
38477,"club-210"
38478,"club-219"
38479,"club-118"
38480,"club-201"
38485,"club-210"
38486,"club-114"
38488,"club-201"
38489,"club-118"
38492,"club-114"
38494,"club-121"
38495,"club-210"
38498,"club-103"
38499,"club-103"
38501,"club-219"
38502,"club-210"
38503,"club-210"
38504,"club-118"
38506,"club-101"
38507,"club-201"
38508,"club-101"
38510,"club-103"
38512,"club-118"
38513,"club-210"
38514,"club-103"
38515,"club-118"
38516,"club-121"
38519,"club-210"
38521,"club-201"
38523,"club-214"
38524,"club-101"
38528,"club-118"
38530,"club-210"
38535,"club-210"
38536,"club-201"
38538,"club-201"
38540,"club-118"
38545,"club-118"
38547,"club-210"
38549,"club-201"
38551,"club-201"
38553,"club-121"
38555,"club-121"
38557,"club-214"
38559,"club-118"
38560,"club-101"
38561,"club-101"
38563,"club-210"
38566,"club-101"
38570,"club-101"
38571,"club-121"
38572,"club-121"
38576,"club-101"
38577,"club-201"
38579,"club-121"
38580,"club-121"
38581,"club-219"
38582,"club-107"
38584,"club-101"
38585,"club-219"
38586,"club-201"
38587,"club-201"
38588,"club-101"
38590,"club-101"
38592,"club-219"
38596,"club-210"
38602,"club-118"
38604,"club-114"
38605,"club-118"
38607,"club-101"
38610,"club-101"
38611,"club-201"
38612,"club-103"
38613,"club-114"
38616,"club-201"
38617,"club-214"
38618,"club-118"
38619,"club-118"
38621,"club-201"
38622,"club-214"
38623,"club-118"
38624,"club-121"
38626,"club-201"
38627,"club-210"
38630,"club-201"
38631,"club-114"
38633,"club-101"
38634,"club-118"
38635,"club-118"
38636,"club-107"
38637,"club-210"
38639,"club-121"
38640,"club-118"
38643,"club-118"
38644,"club-118"
38645,"club-214"
38649,"club-101"
38650,"club-201"
38652,"club-101"
38653,"club-114"
38655,"club-219"
38658,"club-210"
38662,"club-210"
38663,"club-210"
38668,"club-118"
38669,"club-121"
38670,"club-118"
38675,"club-103"
38677,"club-201"
38679,"club-103"
38683,"club-201"
38684,"club-118"
38685,"club-101"
38688,"club-219"
38690,"club-219"
38691,"club-214"
38692,"club-214"
38693,"club-210"
38694,"club-103"
38695,"club-118"
38697,"club-201"
38698,"club-107"
38699,"club-210"
38700,"club-121"
38702,"club-121"
38703,"club-118"
38704,"club-201"
38705,"club-201"
38707,"club-103"
38713,"club-210"
38714,"club-103"
38715,"club-114"
38716,"club-118"
38717,"club-103"
38718,"club-214"
38720,"club-101"
38721,"club-114"
38722,"club-201"
38723,"club-219"
38724,"club-118"
38725,"club-118"
38727,"club-103"
38729,"club-103"
38733,"club-107"
38734,"club-118"
38736,"club-103"
38737,"club-201"
38739,"club-210"
38741,"club-118"
38743,"club-201"
38746,"club-210"
38748,"club-118"
38749,"club-118"
38752,"club-118"
38753,"club-118"
38754,"club-210"
38759,"club-103"
38761,"club-114"
38762,"club-103"
38764,"club-219"
38765,"club-103"
38766,"club-214"
38768,"club-118"
38769,"club-214"
38771,"club-118"
38772,"club-121"
38773,"club-101"
38776,"club-101"
38781,"club-210"
38782,"club-201"
38784,"club-118"
38785,"club-219"
38787,"club-210"
38789,"club-219"
38791,"club-219"
38796,"club-118"
38798,"club-118"
38799,"club-201"
38802,"club-121"
38804,"club-214"
38805,"club-201"
38806,"club-118"
38807,"club-121"
38809,"club-103"
38814,"club-118"
38815,"club-121"
38816,"club-114"
38818,"club-201"
38820,"club-107"
38821,"club-201"
38823,"club-101"
38826,"club-118"
38827,"club-219"
38828,"club-214"
38830,"club-201"
38832,"club-201"
38833,"club-201"
38834,"club-219"
38836,"club-201"
38837,"club-214"
38839,"club-118"
38841,"club-118"
38843,"club-118"
38844,"club-121"
38845,"club-118"
38850,"club-101"
38851,"club-107"
38852,"club-210"
38854,"club-103"
38857,"club-210"
38860,"club-101"
38861,"club-121"
38865,"club-121"
38867,"club-201"
38871,"club-210"
38874,"club-214"
38875,"club-219"
38876,"club-118"
38877,"club-214"
38881,"club-118"
38888,"club-101"
38889,"club-118"
38890,"club-214"
38891,"club-210"
38893,"club-118"
38894,"club-107"
38897,"club-214"
38902,"club-103"
38910,"club-103"
38911,"club-114"
38912,"club-103"
38913,"club-118"
38914,"club-121"
38915,"club-201"
38917,"club-118"
38924,"club-107"
38926,"club-118"
38927,"club-201"
38929,"club-214"
38930,"club-214"
38933,"club-121"
38934,"club-101"
38935,"club-210"
38937,"club-118"
38938,"club-201"
38939,"club-103"
38940,"club-118"
38941,"club-114"
38946,"club-102"
38949,"club-109"
38950,"club-107"
38958,"club-125"
38962,"club-108"
38970,"club-105"
38975,"club-112"
38977,"club-114"
38980,"club-118"
38982,"club-108"
38985,"club-112"
38988,"club-118"
38989,"club-106"
38991,"club-108"
38992,"club-125"
38995,"club-107"
38996,"club-102"
38997,"club-114"
38998,"club-117"
38999,"club-106"
39001,"club-114"
39003,"club-118"
39004,"club-117"
39005,"club-102"
39007,"club-112"
39008,"club-117"
39009,"club-114"
39010,"club-222"
39011,"club-118"
39012,"club-125"
39015,"club-107"
39017,"club-112"
39020,"club-114"
39021,"club-108"
39022,"club-102"
39027,"club-105"
39039,"club-413"
39067,"club-105"
39077,"club-111"
39083,"club-106"
39085,"club-103"
39090,"club-103"
39096,"club-103"
39100,"club-111"
39106,"club-133"
39115,"club-218"
39116,"club-105"
39118,"club-105"
39124,"club-103"
39127,"club-105"
39130,"club-105"
39131,"club-121"
39134,"club-121"
39143,"club-123"
39148,"club-105"
39153,"club-413"
39162,"club-211"
39168,"club-123"
39171,"club-109"
39175,"club-132"
39176,"club-105"
39185,"club-121"
39188,"club-101"
39191,"club-102"
39192,"club-114"
39193,"club-114"
39197,"club-114"
39198,"club-102"
39199,"club-114"
39200,"club-107"
39201,"club-102"
39204,"club-101"
39205,"club-102"
39207,"club-114"
39208,"club-102"
39210,"club-114"
39211,"club-112"
39213,"club-102"
39216,"club-114"
39218,"club-114"
39219,"club-106"
39222,"club-106"
39223,"club-112"
39224,"club-121"
39227,"club-102"
39229,"club-102"
39232,"club-121"
39236,"club-114"
39237,"club-106"
39266,"club-403"
39278,"club-103"
39280,"club-112"
39284,"club-403"
39285,"club-125"
39288,"club-136"
39289,"club-102"
39293,"club-102"
39294,"club-403"
39298,"club-103"
39301,"club-221"
39343,"club-108"
39347,"club-102"
39349,"club-105"
39350,"club-109"
39352,"club-110"
39354,"club-121"
39356,"club-110"
39357,"club-110"
